Nr	english	normed cuneiform 	word / syllables		PIE
7.120 	house 	𒀀𒀀𒅔;𒀀𒄭𒅔;𒄩𒀀𒅔;𒀀𒄿𒅔;𒀀𒀀𒉌	a-a-in; a-hi-in; ha-a-in; a-i-in; a-a-ni	ok?	𒂍 ᴴÉᵒⁿ < Hain homes
7.150 	yard, court 	𒌅𒍑;;𒌌𒄭	tu-uš; ulhi; ul-hi	ok?	𓊌 daçia, villa
7.220 	door, gate 	𒄷𒂖;𒄭𒂖;𒂖;𒂊𒂖;𒂊𒌌;𒌑𒂖;𒇻𒄖𒌑	hu-el; hi-el; el; e-el; e-ul; ú-el; lu-gu-ú	ok?	hall <> šali Säule
7.221 	doorpost, jamb 	𒄬𒋾;𒄩𒀠𒋼𒋼	hal-ti; ha-al-te-te		halt ^^
7.250 	window 	𒆪𒌦𒉪	ku-un-nir	ok?	p:q  փանջարա pʿanǰara پنجره panjere پنجره pencere <> पिञ्जर piñjara fenster
7.270 	wall 	𒋼𒅁𒋫;𒄷𒄷𒌦	te-ip-ta; hu-hu-un	<++?	<> tapete <> 𒄩𒀀𒅔 Hain < home 𓉔𒂍
7.320 	stove 	𒆪𒊏𒄠𒈠;𒆪𒊏𒈾	ku-ra-am-ma; ku-ra-na	+++	𓈎 𓂋 𓂋 𓊮 <> garen cure@Walloon qur@Thai គ្រូ grū  kura-; ku-ra-at; ku-ra-ak | roast, fry
7.422 	blanket 	𒄀𒌓𒈧𒋼;𒄀𒌓𒈧𒋾	gi-ut-máš-te; gi-ut-máš-ti	<+++?	hwītel < •couvet-mat < kubẽta < cupetta < coperta > көрпө körpö Körper-Matte?
7.450 	lamp, torch 	𒄷𒉌𒅕;𒄷𒌦𒁍	hun; hu-ni-ir; hu-un-pu	™	火 huǒ
7.510 	roof 	𒀀𒊑;𒆪𒊌;𒈨𒉡𒈨	a-ri; ku-uk; me-nu-me	<<	<> sky : ki-ik circ ciel 𓁹 𓁺 𓁻 𓁼 𒅆
7.550 	beam 	𒋼𒋾	te-ti	<<+?	Seite      Stab,strahlt,send,
7.560 	post, pole 	𒊭𒇷	šali; ša-li	+++?	Säule @Saal <> <> column  
7.570 	board 	𒋻𒌉	šil-tur	<<+	√stellt astell@Welsh  σανίδα sanída  NL/sic   dēlis  þ Pult 
7.620 	brick 	𒌑𒉺𒀜	ú-pa-at	++ …?	𓅙 𓃀 𓏏 𓊌 ú-pa-at < 𒌨𒁉𒌅 ur-bi-tu ⇔ 𒂍 beith  πέτρα  𒋞 libittu
