Unicode	Hieroglyph	Experimental Hieratic	Hieratic char	Glyph name
U+131F9	𓇹	U+331F9	𳇹	u131F9
U+131FA	𓇺	U+331FA	𳇺	u131FA
U+131FB	𓇻	U+331FB	𳇻	u131FB
U+131FC	𓇼	U+331FC	𳇼	u131FC
U+131FD	𓇽	U+331FD	𳇽	u131FD
U+131FE	𓇾	U+331FE	𳇾	u131FE
U+131FF	𓇿	U+331FF	𳇿	u131FF
U+13200	𓈀	U+33200	𳈀	u13200
U+13201	𓈁	U+33201	𳈁	u13201
U+13202	𓈂	U+33202	𳈂	u13202
U+13203	𓈃	U+33203	𳈃	u13203
U+13204	𓈄	U+33204	𳈄	u13204
U+13205	𓈅	U+33205	𳈅	u13205
U+13206	𓈆	U+33206	𳈆	u13206
U+13207	𓈇	U+33207	𳈇	u13207
U+13208	𓈈	U+33208	𳈈	u13208
U+13209	𓈉	U+33209	𳈉	u13209
U+1320A	𓈊	U+3320A	𳈊	u1320A
U+1320B	𓈋	U+3320B	𳈋	u1320B
U+1320C	𓈌	U+3320C	𳈌	u1320C
U+1320D	𓈍	U+3320D	𳈍	u1320D
U+1320E	𓈎	U+3320E	𳈎	u1320E
U+1320F	𓈏	U+3320F	𳈏	u1320F
U+13210	𓈐	U+33210	𳈐	u13210
U+13211	𓈑	U+33211	𳈑	u13211
U+13212	𓈒	U+33212	𳈒	u13212
U+13213	𓈓	U+33213	𳈓	u13213
U+13214	𓈔	U+33214	𳈔	u13214
