№ ,English word ,Simplified,Pinyin ,PIE,NOTE,Traditional Chinese ,Simplified Chinese,POS ,IPA ,,,,,,,,,,,,,,,,
134,pull ,拉,lā ,@lasche,,拉 ,拉,verb ,la˥˥ ,,,,,,,,,,,,,,,,
135,push ,推,tuī ,!,<,推 ,推,verb ,tʰuei˥˥ ,,,,,,,,,,,,,,,,
136,throw ,扔 diū ,rēng ,range,<<,扔 ,扔 diū ,verb ,ʐɤŋ˥˥ ,tiou˥˥ ,,丟 ,丢,,,,,,,,,,,,
137,tie ,绑,bǎng ,band!,++,綁 ,绑,verb ,pɑŋ˨˩˦ ,,,,,,,,,,,,,,,,
138,sew ,缝,féng ,,<,縫 ,缝,verb ,fɤŋ˧˥ ,,,,,,,,,,,,,,,,
139,count ,数 diǎn ,shǔ ,∑,++,數 ,数 diǎn ,verb ,ʂu˨˩˦ ,tiɛn˨˩˦ ,,點 ,点,,,,,,,,,,,,
140,say ,说 jiǎng ,shuō ,,++,說 ,说 jiǎng ,verb ,ʂuɔ˥˥ ,tɕiɑŋ˨˩˦ ,,講 ,讲,,,,,,,,,,,,
141,sing ,唱,chàng ,,++,唱 ,唱,verb ,tʂʰɑŋ˥˩ ,,,,,,,,,,,,,,,,
142,play ,玩,wán ,wonder?,+?,玩 ,玩,verb ,uan˧˥ ,,,,,,,,,,,,,,,,
143,float ,浮,fú ,,~+,浮 ,浮,verb ,fu˧˥ ,,,,,,,,,,,,,,,,
144,flow ,流,liú ,,~+,流 ,流,verb ,liou˧˥ ,,,,,,,,,,,,,,,,
145,freeze ,结冰 dòngjié ,jiébīng ,,,結冰 ,结冰 dòngjié ,verb ,tɕiɛ˧˥piŋ˥˥ ,tʊŋ˥˩tɕiɛ˧˥ ,,凍結 ,冻结,,,,,,,,,,,,
146,swell ,膨胀,péngzhàng ,,O,膨脹 ,膨胀,verb ,pʰɤŋ˧˥tʂɑŋ˥˩ ,,,,,,,,,,,,,,,,
147,sun ,太阳,tàiyáng ,yang~sun!,+++ 𓃶,太陽 ,太阳,noun ,tʰai˥˩iɑŋ˧˥ ,VS YUEN,,,,,,,,,,,,,,,
148,moon ,月亮,yuèliàng ,夕yu Year jule LUN,+++,月亮 ,月亮,noun ,yɛ˥˩liɑŋ˥˩ ,,,,,,,,,,,,,,,,
149,star ,星 héngxīng ,xīng ,生 shēng sbeng?,!,星 ,星 héngxīng ,noun ,ɕiŋ˥˥ ,xɤŋ˧˥ɕiŋ˥˥ ,scientific (fixed star) ,恆星 ,恒星,,,,,,,,,,,,
150,water ,水,shuǐ ,washuǐ,™,水 ,水,noun ,ʂuei˨˩˦ ,,,,,,,,,,,,,,,,
151,rain ,雨,yǔ ,aqyua  うく 水 ? kyur?,™ <<< ?,雨 ,雨,noun ,y˨˩˦ ,,,,,,,,,,,,,,,,
152,river ,河,hé ,水,,河 ,河,noun ,xɤ˧˥ ,,,,,,,,,,,,,,,,
153,lake ,湖,hú ,水,,湖 ,湖,noun ,xu˧˥ ,,,,,,,,,,,,,,,,
